name,m,L,T_obs,T_K,label,A_action_over_hbar,B_penrose_diosi,C_joos_zeh_decoherence,D_phase_space_cells,E_info_levels
electron_in_atom,9.109e-31,5.29e-11,1e-16,300.0,0,0.043574471539329813,9.926937669019738e-43,1.0490235306550834e-08,2.9251719004661285e-05,0.0
hydrogen_atom,1.673e-27,5.29e-11,1e-15,300.0,0,1.8674317923454322,3.348619274903118e-35,1.0490235306550836e-07,2.302444928443237,0.5559810471361087
cold_atom_BEC_Rb,1.443e-25,1e-05,0.01,1e-07,0,59.856820476752,1.3178386029919856e-23,2.431979474692135e-48,75822.12262251228,7.4907635894848585
C60_fullerene,1.196e-24,1e-09,0.001,900.0,0,1634.8101404715358,9.05298753000906e-19,9.421986773231907e+16,1544745629.7747338,14.105416728545876
oligopeptide_2000amu,3.32e-24,1e-09,0.001,500.0,0,2030.179893915394,6.975988086736438e-18,474995991150807.94,2958411443.0199513,14.538612191043713
phthalocyanine,8.51e-25,1e-09,0.001,500.0,0,1027.8512315311048,4.583409736901777e-19,474995991150807.94,383924465.4169824,13.177304257706554
nanoparticle_1e7amu,1.66e-20,1e-07,0.01,0.001,0,20301.798939153934,1.7439970216841096e-11,2.431979474692138e-24,2958411443019.951,19.143782377031805
virus_capsid_TMV,6.6e-23,3e-07,1.0,300.0,1,2103460.341219059,9.189590925697953e-15,3.489624730826629e+30,3.29047042092478e+18,28.425041475688154
bacterium_E_coli,1e-15,1e-06,1.0,300.0,1,27292360912.077904,0.6328919370315393,4.786865200036528e+33,7.187507711797595e+30,47.36659817926001
dust_grain_1um,1e-15,1e-06,1.0,300.0,1,27292360912.077904,0.6328919370315393,4.786865200036528e+33,7.187507711797595e+30,47.36659817926001
pollen_grain,1e-11,2e-05,1.0,300.0,1,54584721824155.81,3164459.6851576963,3.0635937280233798e+41,5.750006169438077e+40,62.56840309834418
apple,0.1,0.05,1.0,300.0,1,1.3646180456038954e+22,1.2657838740630786e+23,7.47947687505708e+61,8.984384639746996e+65,101.24234604999722
human,70.0,1.7,1.0,310.0,1,1.2478410449126376e+25,1.8242179361497307e+27,1.5520606136953212e+71,6.869621458660627e+74,114.87893725709594
car,1500.0,4.0,1.0,300.0,1,1.3370471622094275e+26,3.560017145802408e+29,1.9606999859349624e+73,8.450748679787138e+77,119.62220479942933
Earth_orbit,5.972e+24,149600000000.0,31500000.0,300.0,1,3.155241451513747e+47,4.752784480157091e+69,1.690251432651628e+144,1.11058755571946e+142,218.04798160660687
